"Tabela 7060 - IPCA - Variação mensal, acumulada no ano, acumulada em 12 meses e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (a partir de janeiro/2020)"
"Mês","Geral, grupo, subgrupo, item e subitem","","Variável"
"Mês","Geral, grupo, subgrupo, item e subitem","","IPCA - Variação mensal (%)","IPCA - Variação acumulada no ano (%)","IPCA - Variação acumulada em 12 meses (%)","IPCA - Peso mensal (%)"
"janeiro 2022","1106051.Morango","Brasil","6.50","6.50","-7.14","0.0070"
"janeiro 2022","1106084.Goiaba","Brasil","8.90","8.90","22.40","0.0047"
"janeiro 2022","1107.Carnes","Brasil","1.32","1.32","9.98","2.9629"
"janeiro 2022","1107009.Fígado","Brasil","-0.32","-0.32","16.06","0.0224"
"janeiro 2022","1107018.Carne de porco","Brasil","-1.94","-1.94","-5.96","0.3609"
"janeiro 2022","1107031.Carne de carneiro","Brasil","-0.98","-0.98","14.78","0.0028"
"janeiro 2022","1107081.Cupim","Brasil","2.16","2.16","11.06","0.0106"
"janeiro 2022","1107084.Contrafilé","Brasil","3.46","3.46","15.43","0.4943"
"janeiro 2022","1107085.Filé-mignon","Brasil","0.20","0.20","30.56","0.0324"
"janeiro 2022","1107087.Chã de dentro","Brasil","1.11","1.11","12.74","0.3325"
"janeiro 2022","1107088.Alcatra","Brasil","2.18","2.18","13.70","0.3669"
"janeiro 2022","1107089.Patinho","Brasil","2.34","2.34","14.97","0.1823"
"janeiro 2022","1107090.Lagarto redondo","Brasil","1.76","1.76","9.73","0.0089"
"janeiro 2022","1107091.Lagarto comum","Brasil","2.11","2.11","15.37","0.0795"
"janeiro 2022","1107093.Músculo","Brasil","0.47","0.47","12.99","0.1700"
"janeiro 2022","1107094.Pá","Brasil","-0.24","-0.24","11.14","0.1244"
"janeiro 2022","1107095.Acém","Brasil","1.53","1.53","9.82","0.2865"
"janeiro 2022","1107096.Peito","Brasil","2.22","2.22","8.58","0.0168"
"janeiro 2022","1107097.Capa de filé","Brasil","1.66","1.66","0.13","0.0360"
"janeiro 2022","1107099.Costela","Brasil","1.16","1.16","8.14","0.3885"
"janeiro 2022","1107208.Picanha","Brasil","1.56","1.56","15.29","0.0472"
"janeiro 2022","1108.Pescados","Brasil","1.18","1.18","3.70","0.2082"
"janeiro 2022","1108002.Peixe - anchova","Brasil","0.31","0.31","0.57","0.0006"
"janeiro 2022","1108004.Peixe - corvina","Brasil","4.08","4.08","0.66","0.0206"
"janeiro 2022","1108011.Peixe - tainha","Brasil","-1.47","-1.47","-0.09","0.0020"
"janeiro 2022","1108012.Peixe - sardinha","Brasil","0.62","0.62","8.27","0.0048"
"janeiro 2022","1108013.Camarão","Brasil","-0.35","-0.35","-5.32","0.0258"
"janeiro 2022","1108019.Peixe - cavala","Brasil","-0.22","-0.22","10.30","0.0009"
"janeiro 2022","1108029.Peixe - cação","Brasil","2.16","2.16","11.13","0.0062"
"janeiro 2022","1108031.Peixe - merluza","Brasil","1.36","1.36","6.52","0.0162"
"janeiro 2022","1108032.Peixe - serra","Brasil","0.27","0.27","4.14","0.0010"
"janeiro 2022","1108038.Peixe - pescada","Brasil","2.07","2.07","4.86","0.0286"
"janeiro 2022","1108045.Caranguejo","Brasil","2.48","2.48","2.36","0.0047"
"janeiro 2022","1108049.Peixe - castanha","Brasil","0.31","0.31","-2.10","0.0009"
"janeiro 2022","1108052.Peixe - palombeta","Brasil","1.50","1.50","18.18","0.0008"
"janeiro 2022","1108072.Peixe - curimatã","Brasil","1.98","1.98","16.96","0.0007"
"janeiro 2022","1108075.Peixe - salmão","Brasil","0.16","0.16","4.75","0.0150"
"janeiro 2022","1108080.Peixe - tilápia","Brasil","0.47","0.47","3.63","0.0457"
"janeiro 2022","1108087.Peixe - tambaqui","Brasil","0.84","0.84","10.59","0.0220"
"janeiro 2022","1108088.Peixe - dourada","Brasil","2.07","2.07","5.35","0.0067"
"janeiro 2022","1108092.Peixe - filhote","Brasil","1.39","1.39","6.43","0.0035"
"janeiro 2022","1108096.Peixe - peroá","Brasil","0.01","0.01","3.00","0.0006"
"janeiro 2022","1108112.Peixe - pintado","Brasil","-2.53","-2.53","-0.77","0.0004"
"janeiro 2022","1108125.Peixe - aruanã","Brasil","0.33","0.33","1.79","0.0006"
"janeiro 2022","1109.Carnes e peixes industrializados","Brasil","-0.20","-0.20","8.01","0.6873"
"janeiro 2022","1109002.Presunto","Brasil","0.88","0.88","10.03","0.1002"
"janeiro 2022","1109007.Salsicha","Brasil","-0.21","-0.21","8.20","0.0447"
"janeiro 2022","1109008.Linguiça","Brasil","-0.26","-0.26","9.32","0.3544"
"janeiro 2022","1109010.Mortadela","Brasil","0.79","0.79","9.36","0.0504"
"janeiro 2022","1109012.Salame","Brasil","-3.15","-3.15","5.18","0.0093"
"janeiro 2022","1109023.Bacalhau","Brasil","-0.76","-0.76","4.77","0.0093"
"janeiro 2022","1109056.Carne-seca e de sol","Brasil","-1.23","-1.23","2.34","0.1108"
"janeiro 2022","1109058.Carne de porco salgada e defumada","Brasil","0.84","0.84","5.69","0.0081"
"janeiro 2022","1110.Aves e ovos","Brasil","-0.81","-0.81","21.72","1.3834"
"janeiro 2022","1110009.Frango inteiro","Brasil","-0.85","-0.85","18.96","0.4128"
"janeiro 2022","1110010.Frango em pedaços","Brasil","-0.71","-0.71","26.97","0.7236"
"janeiro 2022","1110044.Ovo de galinha","Brasil","-1.03","-1.03","12.40","0.2470"
"janeiro 2022","1111.Leites e derivados","Brasil","0.69","0.69","6.29","1.6874"
"janeiro 2022","1111004.Leite longa vida","Brasil","0.40","0.40","-2.02","0.6553"
"janeiro 2022","1111008.Leite condensado","Brasil","-0.55","-0.55","3.04","0.0200"
"janeiro 2022","1111009.Leite em pó","Brasil","-0.07","-0.07","6.24","0.2007"
"janeiro 2022","1111011.Queijo","Brasil","1.07","1.07","14.24","0.5323"
"janeiro 2022","1111019.Iogurte e bebidas lácteas","Brasil","1.87","1.87","16.69","0.1537"
"janeiro 2022","1111021.Requeijão","Brasil","1.05","1.05","16.11","0.0561"
"janeiro 2022","1111031.Manteiga","Brasil","0.38","0.38","6.17","0.0584"
"janeiro 2022","1111038.Leite fermentado","Brasil","-1.39","-1.39","9.25","0.0107"
"janeiro 2022","1112.Panificados","Brasil","1.56","1.56","8.38","1.5373"
"janeiro 2022","1112003.Biscoito","Brasil","2.06","2.06","9.44","0.4337"
"janeiro 2022","1112015.Pão francês","Brasil","0.98","0.98","6.45","0.7711"
"janeiro 2022","1112017.Pão doce","Brasil","0.95","0.95","6.41","0.0795"
"janeiro 2022","1112018.Pão de forma","Brasil","3.90","3.90","16.60","0.0959"
"janeiro 2022","1112019.Bolo","Brasil","2.16","2.16","11.31","0.1302"
