"Tabela 7060 - IPCA - Variação mensal, acumulada no ano, acumulada em 12 meses e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (a partir de janeiro/2020)"
"Mês","Geral, grupo, subgrupo, item e subitem","","Variável"
"Mês","Geral, grupo, subgrupo, item e subitem","","IPCA - Variação mensal (%)","IPCA - Variação acumulada no ano (%)","IPCA - Variação acumulada em 12 meses (%)","IPCA - Peso mensal (%)"
"fevereiro 2022","3202003.Aparelho de som","Brasil","0.07","0.94","4.60","0.0117"
"fevereiro 2022","3202008.Videogame (console)","Brasil","0.01","0.52","21.24","0.0034"
"fevereiro 2022","3202028.Computador pessoal","Brasil","0.92","2.53","3.34","0.3166"
"fevereiro 2022","33.Consertos e manutenção","Brasil","0.74","1.58","9.06","0.3254"
"fevereiro 2022","3301.Consertos e manutenção","Brasil","0.74","1.58","9.06","0.3254"
"fevereiro 2022","3301002.Conserto de refrigerador","Brasil","0.53","2.09","11.36","0.0156"
"fevereiro 2022","3301006.Conserto de televisor","Brasil","1.48","0.81","2.33","0.0018"
"fevereiro 2022","3301015.Conserto de máquina de lavar roupa","Brasil","0.46","2.92","2.24","0.0044"
"fevereiro 2022","3301022.Reforma de estofado","Brasil","1.19","1.75","11.71","0.0452"
"fevereiro 2022","3301088.Conserto de aparelho celular","Brasil","-0.20","0.02","2.70","0.0626"
"fevereiro 2022","3301130.Conserto de bicicleta","Brasil","0.96","1.97","10.66","0.1958"
"fevereiro 2022","4.Vestuário","Brasil","0.88","1.96","12.13","4.3603"
"fevereiro 2022","41.Roupas","Brasil","1.00","2.11","12.71","2.9539"
"fevereiro 2022","4101.Roupa masculina","Brasil","1.14","2.80","14.95","1.0766"
"fevereiro 2022","4101002.Calça comprida masculina","Brasil","1.64","2.59","13.13","0.2877"
"fevereiro 2022","4101005.Agasalho masculino","Brasil","1.01","0.44","11.26","0.0206"
"fevereiro 2022","4101006.Bermuda/short masculino","Brasil","-0.03","1.55","11.77","0.1759"
"fevereiro 2022","4101008.Cueca","Brasil","1.30","3.33","16.46","0.0074"
"fevereiro 2022","4101009.Camisa/camiseta masculina","Brasil","1.26","3.36","16.99","0.5850"
"fevereiro 2022","4102.Roupa feminina","Brasil","1.15","1.94","12.36","1.2849"
"fevereiro 2022","4102002.Calça comprida feminina","Brasil","2.00","1.70","12.08","0.2958"
"fevereiro 2022","4102003.Agasalho feminino","Brasil","1.49","1.64","6.37","0.0228"
"fevereiro 2022","4102004.Saia","Brasil","0.87","3.13","8.90","0.0083"
"fevereiro 2022","4102005.Vestido","Brasil","1.59","3.00","13.50","0.2812"
"fevereiro 2022","4102008.Blusa","Brasil","0.43","1.51","12.81","0.5031"
"fevereiro 2022","4102010.Lingerie","Brasil","1.28","2.31","11.86","0.1086"
"fevereiro 2022","4102013.Bermuda/short feminino","Brasil","0.73","1.23","8.80","0.0650"
"fevereiro 2022","4103.Roupa infantil","Brasil","0.38","1.25","9.55","0.5924"
"fevereiro 2022","4103001.Uniforme escolar","Brasil","2.11","4.03","11.30","0.0848"
"fevereiro 2022","4103002.Calça comprida infantil","Brasil","0.59","1.73","9.67","0.0718"
"fevereiro 2022","4103005.Agasalho infantil","Brasil","3.74","2.78","6.74","0.0072"
"fevereiro 2022","4103007.Vestido infantil","Brasil","-0.53","-0.09","6.72","0.0517"
"fevereiro 2022","4103008.Bermuda/short infantil","Brasil","-0.59","1.07","9.89","0.0544"
"fevereiro 2022","4103011.Camisa/camiseta infantil","Brasil","0.51","1.81","9.49","0.1880"
"fevereiro 2022","4103031.Conjunto infantil","Brasil","-0.42","-0.96","9.58","0.1344"
"fevereiro 2022","42.Calçados e acessórios","Brasil","0.83","1.81","11.40","1.1231"
"fevereiro 2022","4201.Calçados e acessórios","Brasil","0.83","1.81","11.40","1.1231"
"fevereiro 2022","4201002.Sapato masculino","Brasil","1.82","2.45","12.62","0.1468"
"fevereiro 2022","4201003.Sapato feminino","Brasil","0.92","1.14","12.72","0.2598"
"fevereiro 2022","4201004.Sapato infantil","Brasil","1.13","2.79","6.94","0.0250"
"fevereiro 2022","4201015.Bolsa","Brasil","1.18","2.85","10.17","0.0605"
"fevereiro 2022","4201040.Mochila","Brasil","1.49","4.01","11.53","0.0089"
"fevereiro 2022","4201063.Tênis","Brasil","0.42","1.82","11.54","0.4381"
"fevereiro 2022","4201098.Sandália/chinelo","Brasil","0.69","1.63","9.35","0.1840"
"fevereiro 2022","43.Joias e bijuterias","Brasil","-0.36","0.81","9.14","0.2273"
"fevereiro 2022","4301.Joias e bijuterias","Brasil","-0.36","0.81","9.14","0.2273"
"fevereiro 2022","4301001.Bijuteria","Brasil","0.74","3.57","17.13","0.0174"
"fevereiro 2022","4301002.Joia","Brasil","-0.82","-0.09","7.70","0.1592"
"fevereiro 2022","4301004.Relógio de pulso","Brasil","0.69","2.76","11.12","0.0508"
"fevereiro 2022","44.Tecidos e armarinho","Brasil","0.68","1.62","8.92","0.0560"
"fevereiro 2022","4401.Tecidos e armarinho","Brasil","0.68","1.62","8.92","0.0560"
"fevereiro 2022","4401001.Tecido","Brasil","0.71","1.59","9.01","0.0462"
"fevereiro 2022","4401002.Artigos de armarinho","Brasil","0.53","1.76","8.46","0.0099"
"fevereiro 2022","5.Transportes","Brasil","0.46","0.35","18.26","21.7507"
"fevereiro 2022","51.Transportes","Brasil","0.46","0.35","18.26","21.7507"
"fevereiro 2022","5101.Transporte público","Brasil","-0.18","-4.93","6.02","2.8269"
"fevereiro 2022","5101001.Ônibus urbano","Brasil","0.45","0.67","1.50","1.2048"
"fevereiro 2022","5101002.Táxi","Brasil","0.88","2.12","2.12","0.1793"
"fevereiro 2022","5101004.Trem","Brasil","0.00","0.00","1.84","0.0347"
"fevereiro 2022","5101006.Ônibus intermunicipal","Brasil","0.38","0.97","3.20","0.3823"
"fevereiro 2022","5101007.Ônibus interestadual","Brasil","1.36","2.96","9.09","0.1070"
"fevereiro 2022","5101010.Passagem aérea","Brasil","-5.00","-22.43","17.49","0.4782"
"fevereiro 2022","5101011.Metrô","Brasil","0.00","0.00","4.68","0.0657"
"fevereiro 2022","5101026.Transporte escolar","Brasil","3.75","3.85","2.77","0.1209"
"fevereiro 2022","5101051.Transporte por aplicativo","Brasil","2.22","-16.13","27.68","0.1951"
"fevereiro 2022","5101053.Integração transporte público","Brasil","0.00","0.00","0.00","0.0590"
"fevereiro 2022","5102.Veículo próprio","Brasil","1.57","3.56","12.90","11.1934"
"fevereiro 2022","5102001.Automóvel novo","Brasil","1.68","3.91","18.49","3.1588"
"fevereiro 2022","5102004.Emplacamento e licença","Brasil","1.69","3.43","4.21","2.1798"
"fevereiro 2022","5102005.Seguro voluntário de veículo","Brasil","3.24","6.81","14.96","0.7484"
"fevereiro 2022","5102006.Multa","Brasil","0.00","0.00","0.00","0.1040"
"fevereiro 2022","5102007.Óleo lubrificante","Brasil","2.11","2.49","20.61","0.1378"
"fevereiro 2022","5102009.Acessórios e peças","Brasil","1.67","1.32","10.12","0.1768"
"fevereiro 2022","5102010.Pneu","Brasil","1.56","3.78","28.20","0.2622"
"fevereiro 2022","5102011.Conserto de automóvel","Brasil","0.92","3.13","8.29","1.6473"
"fevereiro 2022","5102013.Estacionamento","Brasil","-1.49","-0.43","1.36","0.0609"
"fevereiro 2022","5102015.Pedágio","Brasil","0.12","0.20","5.67","0.0907"
"fevereiro 2022","5102020.Automóvel usado","Brasil","1.51","3.07","16.97","1.9794"
"fevereiro 2022","5102037.Pintura de veículo","Brasil","1.40","3.03","9.41","0.0142"
"fevereiro 2022","5102051.Aluguel de veículo","Brasil","-15.28","-18.50","-4.44","0.0223"
"fevereiro 2022","5102053.Motocicleta","Brasil","1.72","4.22","15.61","0.6108"
"fevereiro 2022","5104.Combustíveis (veículos)","Brasil","-0.92","-2.14","33.33","7.7303"
"fevereiro 2022","5104001.Gasolina","Brasil","-0.47","-1.60","32.62","6.4742"
"fevereiro 2022","5104002.Etanol","Brasil","-5.04","-7.73","36.17","0.9315"
"fevereiro 2022","5104003.Óleo diesel","Brasil","1.65","4.07","40.54","0.2492"
"fevereiro 2022","5104005.Gás veicular","Brasil","2.77","1.88","38.41","0.0754"
"fevereiro 2022","6.Saúde e cuidados pessoais","Brasil","0.47","0.84","3.59","12.3664"
"fevereiro 2022","61.Produtos farmacêuticos e óticos","Brasil","0.51","0.81","6.19","3.3930"
"fevereiro 2022","6101.Produtos farmacêuticos","Brasil","0.57","0.88","6.65","3.1326"
"fevereiro 2022","6101001.Anti-infeccioso e antibiótico","Brasil","0.53","0.24","9.52","0.2168"
"fevereiro 2022","6101002.Analgésico e antitérmico","Brasil","1.11","1.65","8.46","0.5335"
"fevereiro 2022","6101003.Anti-inflamatório e antirreumático","Brasil","-0.18","0.45","8.27","0.1492"
"fevereiro 2022","6101004.Antigripal e antitussígeno","Brasil","1.48","1.99","7.50","0.1799"
"fevereiro 2022","6101006.Dermatológico","Brasil","1.21","2.24","10.15","0.1269"
"fevereiro 2022","6101007.Antialérgico e broncodilatador","Brasil","-0.09","0.30","8.72","0.1649"
"fevereiro 2022","6101009.Gastroprotetor","Brasil","0.30","1.33","7.08","0.1313"
"fevereiro 2022","6101010.Vitamina e fortificante","Brasil","1.15","2.25","5.02","0.2091"
"fevereiro 2022","6101011.Hormonal","Brasil","0.19","0.09","6.65","0.1866"
"fevereiro 2022","6101013.Psicotrópico e anorexígeno","Brasil","0.65","1.06","7.25","0.2814"
"fevereiro 2022","6101014.Hipotensor e hipocolesterolêmico","Brasil","0.27","0.33","3.51","0.5619"
"fevereiro 2022","6101051.Oftalmológico","Brasil","1.30","1.20","4.22","0.0862"
"fevereiro 2022","6101064.Antidiabético","Brasil","0.12","-0.48","6.56","0.1685"
"fevereiro 2022","6101148.Neurológico","Brasil","-0.56","-0.59","2.79","0.1363"
"fevereiro 2022","6102.Produtos óticos","Brasil","-0.24","-0.13","0.85","0.2604"
"fevereiro 2022","6102012.Óculos de grau","Brasil","-0.24","-0.13","0.85","0.2604"
"fevereiro 2022","62.Serviços de saúde","Brasil","-0.22","-0.51","1.11","5.2888"
"fevereiro 2022","6201.Serviços médicos e dentários","Brasil","0.82","1.46","4.53","1.0842"
"fevereiro 2022","6201002.Médico","Brasil","0.89","1.75","4.16","0.5178"
"fevereiro 2022","6201003.Dentista","Brasil","0.76","1.23","5.00","0.5047"
"fevereiro 2022","6201005.Aparelho ortodôntico","Brasil","0.92","1.30","4.58","0.0175"
"fevereiro 2022","6201007.Fisioterapeuta","Brasil","0.00","2.89","2.14","0.0004"
"fevereiro 2022","6201010.Psicólogo","Brasil","0.76","0.84","3.65","0.0438"
"fevereiro 2022","6202.Serviços laboratoriais e hospitalares","Brasil","0.75","1.27","4.60","0.5760"
"fevereiro 2022","6202003.Exame de laboratório","Brasil","0.52","1.51","5.03","0.1056"
"fevereiro 2022","6202004.Hospitalização e cirurgia","Brasil","0.96","1.34","4.93","0.3433"
"fevereiro 2022","6202006.Exame de imagem","Brasil","0.38","0.89","3.38","0.1271"
"fevereiro 2022","6203.Plano de saúde","Brasil","-0.69","-1.37","-0.41","3.6286"
"fevereiro 2022","6203001.Plano de saúde","Brasil","-0.69","-1.37","-0.41","3.6286"
"fevereiro 2022","63.Cuidados pessoais","Brasil","1.43","2.83","4.87","3.6846"
"fevereiro 2022","6301.Higiene pessoal","Brasil","1.43","2.83","4.87","3.6846"
"fevereiro 2022","6301001.Produto para cabelo","Brasil","0.15","0.46","3.48","0.5820"
"fevereiro 2022","6301002.Fralda descartável","Brasil","0.99","1.66","8.81","0.2156"
"fevereiro 2022","6301004.Produto para barba","Brasil","-0.06","0.61","0.77","0.1213"
"fevereiro 2022","6301006.Produto para pele","Brasil","-5.53","-2.27","-0.27","0.3706"
"fevereiro 2022","6301007.Produto para higiene bucal","Brasil","1.27","1.93","7.80","0.2550"
"fevereiro 2022","6301010.Produto para unha","Brasil","-2.93","-0.79","0.86","0.0036"
"fevereiro 2022","6301011.Perfume","Brasil","6.17","7.69","2.90","0.9437"
"fevereiro 2022","6301014.Desodorante","Brasil","0.12","1.21","1.43","0.4121"
"fevereiro 2022","6301015.Absorvente higiênico","Brasil","0.16","0.66","7.16","0.1079"
"fevereiro 2022","6301016.Sabonete","Brasil","2.51","4.10","17.80","0.3164"
"fevereiro 2022","6301017.Papel higiênico","Brasil","0.77","1.86","9.60","0.2032"
"fevereiro 2022","6301020.Artigos de maquiagem","Brasil","-0.73","3.71","6.63","0.1533"
"fevereiro 2022","7.Despesas pessoais","Brasil","0.64","1.43","5.63","9.9036"
"fevereiro 2022","71.Serviços pessoais","Brasil","0.50","0.95","3.38","6.1513"
"fevereiro 2022","7101.Serviços pessoais","Brasil","0.50","0.95","3.38","6.1513"
"fevereiro 2022","7101001.Costureira","Brasil","-1.93","-1.28","5.07","0.0122"
"fevereiro 2022","7101005.Manicure","Brasil","1.00","0.62","8.00","0.3778"
"fevereiro 2022","7101010.Empregado doméstico","Brasil","0.14","0.27","1.47","2.7901"
"fevereiro 2022","7101011.Cabeleireiro e barbeiro","Brasil","0.64","2.27","7.68","0.9997"
"fevereiro 2022","7101014.Depilação","Brasil","1.85","2.29","8.33","0.0578"
"fevereiro 2022","7101034.Cartório","Brasil","1.26","11.89","11.97","0.0230"
"fevereiro 2022","7101036.Despachante","Brasil","1.14","3.48","11.03","0.0937"
"fevereiro 2022","7101076.Serviço bancário","Brasil","0.85","1.07","2.31","1.6401"
"fevereiro 2022","7101090.Conselho de classe","Brasil","0.21","0.41","1.00","0.0503"
"fevereiro 2022","7101144.Sobrancelha","Brasil","0.02","1.12","6.68","0.1065"
"fevereiro 2022","72.Recreação e fumo","Brasil","0.87","2.23","9.54","3.7523"
"fevereiro 2022","7201.Recreação","Brasil","1.01","2.57","10.40","3.2409"
"fevereiro 2022","7201006.Clube","Brasil","1.96","2.69","4.38","0.0749"
"fevereiro 2022","7201010.Instrumento musical","Brasil","-1.62","-2.48","4.73","0.0178"
"fevereiro 2022","7201015.Tratamento de animais (clínica)","Brasil","0.23","1.08","5.44","0.2759"
"fevereiro 2022","7201019.Bicicleta","Brasil","0.05","1.09","11.24","0.1045"
"fevereiro 2022","7201020.Alimento para animais","Brasil","1.17","2.46","23.58","0.3849"
"fevereiro 2022","7201023.Brinquedo","Brasil","2.29","6.08","14.84","0.2103"
"fevereiro 2022","7201054.Casa noturna","Brasil","-1.25","-1.87","-2.85","0.0388"
"fevereiro 2022","7201063.Jogos de azar","Brasil","0.00","0.00","0.00","0.4610"
"fevereiro 2022","7201067.Material de caça e pesca","Brasil","-0.62","0.59","8.08","0.0092"
"fevereiro 2022","7201090.Hospedagem","Brasil","0.23","2.25","11.99","0.5134"
"fevereiro 2022","7201095.Pacote turístico","Brasil","1.52","4.28","16.32","0.5273"
"fevereiro 2022","7201256.Serviço de higiene para animais","Brasil","2.06","2.18","8.09","0.1344"
"fevereiro 2022","7201266.Cinema, teatro e concertos","Brasil","2.07","4.01","8.14","0.4884"
"fevereiro 2022","7202.Fumo","Brasil","0.00","0.06","4.29","0.5114"
"fevereiro 2022","7202041.Cigarro","Brasil","0.00","0.06","4.29","0.5114"
"fevereiro 2022","8.Educação","Brasil","5.61","5.87","6.08","5.5450"
"fevereiro 2022","81.Cursos, leitura e papelaria","Brasil","5.61","5.87","6.08","5.5450"
"fevereiro 2022","8101.Cursos regulares","Brasil","6.67","6.67","6.22","4.1464"
"fevereiro 2022","8101001.Creche","Brasil","6.53","6.53","7.99","0.1787"
"fevereiro 2022","8101002.Pré-escola","Brasil","7.67","7.67","7.44","0.2926"
"fevereiro 2022","8101003.Ensino fundamental","Brasil","8.06","8.06","8.52","1.4066"
"fevereiro 2022","8101004.Ensino médio","Brasil","7.53","7.53","8.36","0.3585"
"fevereiro 2022","8101005.Ensino superior","Brasil","5.82","5.82","3.82","1.5899"
"fevereiro 2022","8101006.Pós-graduação","Brasil","2.79","2.79","3.97","0.2541"
"fevereiro 2022","8101008.Educação de jovens e adultos","Brasil","3.28","3.28","1.65","0.0377"
"fevereiro 2022","8101045.Curso técnico","Brasil","4.31","4.31","5.70","0.0284"
"fevereiro 2022","8102.Leitura","Brasil","0.80","2.04","5.07","0.5054"
"fevereiro 2022","8102001.Jornal diário","Brasil","0.53","6.91","12.31","0.0317"
"fevereiro 2022","8102004.Revista","Brasil","0.00","0.00","27.17","0.0330"
"fevereiro 2022","8102007.Livro didático","Brasil","0.76","1.79","2.03","0.3507"
"fevereiro 2022","8102008.Livro não didático","Brasil","1.36","2.17","8.31","0.0901"
"fevereiro 2022","8103.Papelaria","Brasil","0.34","0.19","7.13","0.1347"
"fevereiro 2022","8103001.Caderno","Brasil","1.52","2.93","9.68","0.0489"
"fevereiro 2022","8103014.Artigos de papelaria","Brasil","-0.34","-1.33","5.71","0.0858"
"fevereiro 2022","8104.Cursos diversos","Brasil","3.91","5.02","5.79","0.7586"
"fevereiro 2022","8104001.Curso preparatório","Brasil","4.99","4.99","5.47","0.0681"
"fevereiro 2022","8104003.Curso de idioma","Brasil","7.29","7.29","5.95","0.2649"
"fevereiro 2022","8104004.Curso de informática","Brasil","3.48","4.17","-1.01","0.0014"
"fevereiro 2022","8104005.Autoescola","Brasil","3.90","4.78","9.68","0.0484"
"fevereiro 2022","8104006.Atividades físicas","Brasil","1.34","3.43","5.27","0.3758"
"fevereiro 2022","9.Comunicação","Brasil","0.29","1.34","2.85","5.2416"
"fevereiro 2022","91.Comunicação","Brasil","0.29","1.34","2.85","5.2416"
"fevereiro 2022","9101.Comunicação","Brasil","0.29","1.34","2.85","5.2416"
"fevereiro 2022","9101001.Correio","Brasil","1.73","1.73","3.58","0.0608"
"fevereiro 2022","9101002.Plano de telefonia fixa","Brasil","-0.41","-0.41","10.10","0.2581"
"fevereiro 2022","9101008.Plano de telefonia móvel","Brasil","0.08","0.84","1.01","1.4361"
"fevereiro 2022","9101010.Tv por assinatura","Brasil","0.00","0.00","0.00","0.3531"
"fevereiro 2022","9101018.Acesso à internet","Brasil","0.00","0.00","0.00","0.5183"
"fevereiro 2022","9101019.Aparelho telefônico","Brasil","1.42","1.17","5.24","0.9727"
"fevereiro 2022","9101115.Serviços de streaming","Brasil","0.00","0.00","16.90","0.0714"
"fevereiro 2022","9101116.Combo de telefonia, internet e tv por assinatura","Brasil","0.00","3.03","3.03","1.5711"
"março 2022","Índice geral","Brasil","1.62","3.20","11.30","100.0000"
"março 2022","1.Alimentação e bebidas","Brasil","2.42","4.89","11.62","20.8862"
"março 2022","11.Alimentação no domicílio","Brasil","3.09","6.30","13.73","15.2127"
"março 2022","1101.Cereais, leguminosas e oleaginosas","Brasil","3.12","2.31","-9.71","0.8148"
"março 2022","1101002.Arroz","Brasil","2.69","0.09","-13.88","0.5795"
"março 2022","1101051.Feijão - mulatinho","Brasil","-3.61","2.27","7.30","0.0147"
"março 2022","1101052.Feijão - preto","Brasil","2.60","3.90","-4.13","0.0597"
"março 2022","1101053.Feijão - macáçar (fradinho)","Brasil","1.24","3.52","6.63","0.0193"
"março 2022","1101073.Feijão - carioca (rajado)","Brasil","6.43","11.78","2.80","0.1297"
"março 2022","1101079.Milho (em grão)","Brasil","2.04","5.42","23.36","0.0119"
"março 2022","1102.Farinhas, féculas e massas","Brasil","1.89","4.44","13.52","0.4677"
"março 2022","1102001.Farinha de arroz","Brasil","0.24","2.37","1.26","0.0024"
"março 2022","1102006.Macarrão","Brasil","2.69","4.32","13.42","0.1465"
"março 2022","1102008.Fubá de milho","Brasil","-1.59","-0.21","28.03","0.0100"
"março 2022","1102010.Flocos de milho","Brasil","0.79","1.29","2.26","0.0091"
"março 2022","1102012.Farinha de trigo","Brasil","4.03","7.55","18.02","0.0534"
"março 2022","1102023.Farinha de mandioca","Brasil","2.20","8.74","14.89","0.0996"
"março 2022","1102029.Massa semipreparada","Brasil","-0.25","-0.05","10.52","0.1195"
"março 2022","1102061.Macarrão instantâneo","Brasil","3.43","6.96","14.30","0.0272"
"março 2022","1103.Tubérculos, raízes e legumes","Brasil","16.74","41.16","55.90","0.8389"
"março 2022","1103002.Batata-doce","Brasil","-1.09","-1.51","-0.19","0.0310"
"março 2022","1103003.Batata-inglesa","Brasil","4.89","42.03","27.15","0.2185"
"março 2022","1103004.Inhame","Brasil","-2.05","14.69","3.75","0.0017"
"março 2022","1103005.Mandioca (aipim)","Brasil","-3.05","-3.59","36.12","0.0207"
"março 2022","1103020.Abobrinha","Brasil","-6.69","53.64","44.99","0.0140"
"março 2022","1103025.Pepino","Brasil","-1.51","29.38","28.12","0.0036"
"março 2022","1103026.Pimentão","Brasil","33.12","15.35","80.44","0.0187"
"março 2022","1103028.Tomate","Brasil","27.22","35.13","94.55","0.2958"
"março 2022","1103043.Cebola","Brasil","10.55","28.34","13.84","0.1380"
"março 2022","1103044.Cenoura","Brasil","31.47","160.79","166.17","0.0969"
"março 2022","1104.Açúcares e derivados","Brasil","0.39","2.75","19.75","0.7131"
"março 2022","1104003.Açúcar refinado","Brasil","-0.13","1.29","40.30","0.1270"
"março 2022","1104004.Açúcar cristal","Brasil","1.30","3.91","35.68","0.1395"
"março 2022","1104018.Balas","Brasil","-0.64","0.17","8.47","0.0153"
"março 2022","1104023.Chocolate em barra e bombom","Brasil","-0.86","2.50","10.91","0.1835"
"março 2022","1104032.Sorvete","Brasil","0.82","1.75","9.41","0.1373"
"março 2022","1104052.Chocolate e achocolatado em pó","Brasil","1.55","5.02","13.58","0.1084"
"março 2022","1104060.Doce de frutas em pasta","Brasil","-0.79","6.79","12.91","0.0015"
"março 2022","1104067.Açúcar demerara","Brasil","2.67","6.90","31.89","0.0005"
"março 2022","1105.Hortaliças e verduras","Brasil","9.00","35.99","33.29","0.2524"
"março 2022","1105001.Alface","Brasil","8.87","42.06","38.92","0.1250"
"março 2022","1105004.Coentro","Brasil","-1.92","1.24","-0.71","0.0082"
"março 2022","1105005.Couve","Brasil","5.65","29.12","24.96","0.0179"
"março 2022","1105006.Couve-flor","Brasil","3.61","24.62","27.66","0.0033"
"março 2022","1105010.Repolho","Brasil","26.72","72.21","64.79","0.0217"
"março 2022","1105012.Cheiro-verde","Brasil","4.58","19.61","18.60","0.0451"
"março 2022","1105019.Brócolis","Brasil","8.94","31.93","30.35","0.0312"
"março 2022","1106.Frutas","Brasil","6.39","13.91","14.48","1.0070"
"março 2022","1106001.Banana-da-terra","Brasil","-1.25","-4.96","8.36","0.0150"
"março 2022","1106003.Abacaxi","Brasil","0.91","5.30","-7.23","0.0175"
"março 2022","1106004.Abacate","Brasil","-6.92","-20.80","5.64","0.0013"
"março 2022","1106005.Banana - d'água","Brasil","10.59","7.22","6.15","0.0954"
"março 2022","1106006.Banana - maçã","Brasil","-12.35","-13.76","-1.50","0.0056"
"março 2022","1106008.Banana - prata","Brasil","-4.78","9.24","14.38","0.2075"
"março 2022","1106011.Laranja - baía","Brasil","6.50","33.86","34.21","0.0063"
"março 2022","1106012.Laranja - lima","Brasil","-1.09","-5.12","-0.71","0.0057"
"março 2022","1106015.Limão","Brasil","-12.12","-20.43","-18.30","0.0200"
"março 2022","1106017.Maçã","Brasil","12.15","23.35","6.26","0.1376"
"março 2022","1106018.Mamão","Brasil","19.51","28.78","54.95","0.1253"
"março 2022","1106019.Manga","Brasil","13.00","23.99","-11.29","0.0577"
"março 2022","1106020.Maracujá","Brasil","-7.38","-4.76","8.88","0.0086"
"março 2022","1106021.Melancia","Brasil","12.29","40.05","66.42","0.0387"
"março 2022","1106022.Melão","Brasil","35.18","54.58","68.95","0.0190"
"março 2022","1106023.Pera","Brasil","-7.56","-10.38","13.98","0.0255"
"março 2022","1106027.Tangerina","Brasil","0.88","9.23","17.69","0.0369"
"março 2022","1106028.Uva","Brasil","9.80","13.82","7.38","0.0752"
"março 2022","1106039.Laranja - pera","Brasil","1.30","1.77","8.64","0.0947"
"março 2022","1106051.Morango","Brasil","8.68","37.00","31.54","0.0088"
"março 2022","1106084.Goiaba","Brasil","-3.16","2.36","17.14","0.0049"
"março 2022","1107.Carnes","Brasil","0.33","2.12","8.05","2.9697"
"março 2022","1107009.Fígado","Brasil","1.10","-0.74","19.04","0.0216"
"março 2022","1107018.Carne de porco","Brasil","-0.51","-5.37","-5.29","0.3379"
"março 2022","1107031.Carne de carneiro","Brasil","-8.84","-11.07","-0.37","0.0027"
"março 2022","1107081.Cupim","Brasil","0.61","1.78","8.61","0.0106"
"março 2022","1107084.Contrafilé","Brasil","-0.07","4.37","12.92","0.5081"
"março 2022","1107085.Filé-mignon","Brasil","-4.35","-10.45","14.99","0.0298"
"março 2022","1107087.Chã de dentro","Brasil","0.92","3.33","11.63","0.3352"
"março 2022","1107088.Alcatra","Brasil","0.47","4.46","12.29","0.3754"
"março 2022","1107089.Patinho","Brasil","2.05","4.58","12.13","0.1836"
"março 2022","1107090.Lagarto redondo","Brasil","4.49","8.88","13.83","0.0091"
"março 2022","1107091.Lagarto comum","Brasil","0.78","2.81","10.83","0.0799"
"março 2022","1107093.Músculo","Brasil","-0.07","1.24","8.26","0.1698"
"março 2022","1107094.Pá","Brasil","1.15","1.85","8.14","0.1236"
"março 2022","1107095.Acém","Brasil","0.10","4.16","6.40","0.2934"
"março 2022","1107096.Peito","Brasil","-0.15","3.12","8.94","0.0171"
"março 2022","1107097.Capa de filé","Brasil","0.78","2.53","0.58","0.0361"
"março 2022","1107099.Costela","Brasil","0.36","2.20","6.06","0.3902"
"março 2022","1107208.Picanha","Brasil","0.22","-2.04","11.43","0.0456"
"março 2022","1108.Pescados","Brasil","0.87","2.02","3.69","0.2072"
"março 2022","1108002.Peixe - anchova","Brasil","0.59","0.11","1.49","0.0005"
"março 2022","1108004.Peixe - corvina","Brasil","-0.96","2.32","-0.48","0.0209"
"março 2022","1108011.Peixe - tainha","Brasil","3.50","10.37","11.80","0.0021"
"março 2022","1108012.Peixe - sardinha","Brasil","0.76","1.99","9.22","0.0048"
"março 2022","1108013.Camarão","Brasil","1.00","0.05","-3.86","0.0251"
"março 2022","1108019.Peixe - cavala","Brasil","2.71","7.87","12.95","0.0009"
"março 2022","1108029.Peixe - cação","Brasil","1.82","5.24","12.30","0.0063"
"março 2022","1108031.Peixe - merluza","Brasil","0.32","1.97","7.43","0.0162"
"março 2022","1108032.Peixe - serra","Brasil","0.47","2.40","1.32","0.0010"
"março 2022","1108038.Peixe - pescada","Brasil","-0.35","1.78","5.74","0.0287"
"março 2022","1108045.Caranguejo","Brasil","1.41","3.19","3.07","0.0047"
"março 2022","1108049.Peixe - castanha","Brasil","0.59","0.11","-1.20","0.0009"
"março 2022","1108052.Peixe - palombeta","Brasil","0.86","0.09","11.72","0.0008"
"março 2022","1108072.Peixe - curimatã","Brasil","-0.27","3.58","6.09","0.0007"
"março 2022","1108075.Peixe - salmão","Brasil","3.77","4.00","8.15","0.0148"
"março 2022","1108080.Peixe - tilápia","Brasil","0.96","2.56","3.34","0.0457"
"março 2022","1108087.Peixe - tambaqui","Brasil","-0.21","0.13","5.02","0.0217"
"março 2022","1108088.Peixe - dourada","Brasil","5.58","-0.90","2.22","0.0062"
"março 2022","1108092.Peixe - filhote","Brasil","4.56","6.77","8.54","0.0035"
"março 2022","1108096.Peixe - peroá","Brasil","1.71","1.33","1.85","0.0006"
"março 2022","1108112.Peixe - pintado","Brasil","1.68","0.73","0.03","0.0003"
"março 2022","1108125.Peixe - aruanã","Brasil","0.70","0.10","1.64","0.0005"
"março 2022","1109.Carnes e peixes industrializados","Brasil","0.22","-0.16","6.27","0.6742"
"março 2022","1109002.Presunto","Brasil","-0.08","0.76","7.40","0.0995"
"março 2022","1109007.Salsicha","Brasil","-0.71","-1.75","6.48","0.0437"
"março 2022","1109008.Linguiça","Brasil","0.21","-0.09","7.28","0.3479"
